customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,24,No,Month-to-month,Yes,Bank transfer,64.46,1547.04,Yes
CUST-00001,Female,0,No,Yes,15,Fiber optic,Month-to-month,No,Mailed check,30.12,471.4,Yes
CUST-00002,Female,0,No,No,37,DSL,Month-to-month,Yes,Credit card,76.06,2819.94,No
CUST-00003,Male,0,No,No,47,Fiber optic,Month-to-month,Yes,Credit card,33.96,1614.98,No
CUST-00004,Male,0,Yes,Yes,18,DSL,One year,Yes,Credit card,24.22,459.54,No
CUST-00005,Female,0,Yes,No,55,Fiber optic,Month-to-month,No,Mailed check,68.86,3787.3,Yes
CUST-00006,Male,0,No,No,45,Fiber optic,Two year,No,Mailed check,84.85,3818.25,Yes
CUST-00007,Female,0,No,Yes,11,DSL,Month-to-month,No,Credit card,105.12,1192.07,Yes
CUST-00008,Male,0,No,Yes,67,DSL,One year,No,Electronic check,97.85,6555.95,No
CUST-00009,Male,0,No,Yes,3,Fiber optic,Month-to-month,No,Electronic check,105.44,316.32,Yes
CUST-00010,Female,1,Yes,No,47,DSL,One year,No,Electronic check,95.53,4522.35,No
CUST-00011,Female,0,Yes,No,31,No,One year,No,Bank transfer,89.73,2781.63,No
CUST-00012,Female,0,No,Yes,47,Fiber optic,Month-to-month,No,Electronic check,19.03,917.77,Yes
CUST-00013,Female,0,Yes,No,55,Fiber optic,Two year,No,Bank transfer,81.86,4571.94,No
CUST-00014,Female,0,Yes,Yes,49,DSL,Month-to-month,Yes,Electronic check,30.29,1485.05,Yes
CUST-00015,Female,0,No,No,46,Fiber optic,Month-to-month,Yes,Credit card,23.98,1152.87,Yes
CUST-00016,Female,0,Yes,Yes,60,No,One year,Yes,Mailed check,33.95,2044.69,No
CUST-00017,Male,0,No,No,50,DSL,Two year,No,Electronic check,101.98,5178.37,No
CUST-00018,Female,0,No,Yes,58,DSL,Month-to-month,No,Bank transfer,93.87,5444.46,Yes
CUST-00019,Male,0,Yes,No,29,DSL,Month-to-month,No,Mailed check,114.77,3328.33,Yes
CUST-00020,Female,0,No,No,14,Fiber optic,Two year,No,Mailed check,117.86,1683.7,Yes
CUST-00021,Male,1,No,No,16,Fiber optic,One year,Yes,Bank transfer,109.11,1745.76,Yes
CUST-00022,Male,1,No,Yes,44,Fiber optic,Two year,Yes,Credit card,31.56,1446.25,No
CUST-00023,Female,0,No,Yes,38,Fiber optic,Month-to-month,Yes,Credit card,107.6,4088.8,Yes
CUST-00024,Female,0,Yes,Yes,5,DSL,One year,No,Mailed check,103.54,621.17,No
CUST-00025,Female,0,No,Yes,14,DSL,Month-to-month,Yes,Credit card,106.85,1602.01,Yes
CUST-00026,Male,0,No,Yes,69,DSL,Two year,Yes,Electronic check,33.47,2323.53,No
CUST-00027,Female,1,Yes,No,52,No,Month-to-month,No,Credit card,29.91,1582.95,Yes
CUST-00028,Female,0,Yes,Yes,54,Fiber optic,One year,Yes,Credit card,112.23,6120.0,No
CUST-00029,Male,1,Yes,Yes,14,Fiber optic,Month-to-month,No,Bank transfer,35.73,500.22,Yes
CUST-00030,Male,0,Yes,Yes,4,Fiber optic,One year,No,Bank transfer,55.6,222.4,No
CUST-00031,Male,0,Yes,Yes,20,DSL,One year,No,Bank transfer,64.51,1353.02,No
CUST-00032,Male,0,No,No,61,DSL,Month-to-month,Yes,Electronic check,30.69,1885.79,No
CUST-00033,Female,1,No,Yes,36,DSL,Two year,Yes,Credit card,20.1,723.6,No
CUST-00034,Female,0,No,Yes,56,No,Month-to-month,Yes,Bank transfer,119.4,6686.96,No
CUST-00035,Male,0,No,Yes,35,Fiber optic,One year,Yes,Credit card,107.42,3759.7,Yes
CUST-00036,Female,0,Yes,No,35,Fiber optic,Month-to-month,No,Electronic check,111.06,3887.1,No
CUST-00037,Female,0,Yes,Yes,43,DSL,Month-to-month,No,Credit card,47.03,2022.29,No
